Time,AMR_Undiag,AMR_I_Res
1884,158,51
1885,162,51
1886,168,52
1887,167,51
1888,168,51
1889,168,49
1890,168,47
1891,169,47
1892,170,46
1893,175,46
1894,172,46
1895,177,46
1896,177,46
1897,175,46
1898,172,47
1899,169,47
1900,170,47
1901,171,49
1902,174,48
1903,176,48
1904,175,48
1905,172,48
1906,171,50
1907,171,50
1908,168,51
1909,169,51
1910,169,51
1911,169,51
1912,167,50
1913,164,50
1914,165,51
1915,167,52
1916,163,52
1917,162,53
1918,163,53
1919,163,55
1920,161,54
1921,159,53
1922,157,53
1923,158,54
1924,154,54
1925,155,55
1926,157,55
1927,159,54
1928,159,54
1929,160,55
1930,162,56
1931,163,56
1932,161,56
1933,161,55
1934,166,56
1935,172,55
1936,167,55
1937,164,55
1938,163,58
1939,163,59
1940,167,59
1941,172,60
1942,172,59
1943,171,61
1944,172,61
1945,171,61
1946,176,61
1947,174,61
1948,172,61
1949,172,62
1950,176,63
1951,174,64
1952,174,64
1953,170,64
1954,170,64
1955,172,63
1956,167,63
1957,165,63
1958,165,65
1959,162,65
1960,158,66
1961,162,66
1962,161,68
1963,158,68
1964,161,68
1965,165,68
1966,165,69
1967,162,70
1968,158,70
1969,157,71
1970,159,71
1971,155,71
1972,158,70
1973,159,70
1974,155,70
1975,152,71
1976,153,71
1977,155,71
1978,159,71
1979,168,72
1980,166,72
1981,162,72
1982,170,73
1983,169,73
1984,170,73
1985,166,73
1986,164,75
1987,165,75
1988,165,75
1989,169,77
1990,169,77
1991,165,78
1992,159,78
1993,158,78
1994,160,79
1995,159,79
1996,155,79
1997,160,81
1998,158,82
1999,161,83
2000,160,84
2001,162,85
2002,162,86
2003,169,86
2004,167,86
2005,165,87
2006,171,89
2007,167,89
2008,162,89
2009,157,89
2010,148,90
2011,152,91
2012,152,91
2013,158,91
2014,157,91
2015,154,90
2016,159,90
2017,162,89
2018,162,89
2019,163,89
2020,163,91
2021,163,91
2022,167,92
2023,168,93
2024,168,93
2025,161,95
2026,160,95
2027,161,95
2028,161,95
2029,153,95
2030,150,96
2031,150,96
2032,148,97
2033,145,97
2034,149,97
2035,146,97
2036,147,99
2037,144,99
2038,143,99
2039,138,99
2040,134,101
2041,142,101
2042,144,101
2043,145,102
2044,143,102
2045,145,103
2046,146,104
2047,152,103
2048,154,103
2049,144,104
2050,146,104
2051,145,105
2052,144,105
2053,139,108
2054,132,108
2055,133,109
2056,132,109
2057,137,109
2058,132,113
2059,134,114
2060,129,114
2061,128,115
2062,130,115
2063,127,115
2064,128,116
2065,129,117
2066,131,117
2067,130,118
2068,131,119
2069,139,119
2070,140,119
2071,136,120
2072,132,120
2073,131,121
2074,131,121
2075,130,120
2076,130,120
2077,130,122
2078,128,121
2079,127,121
2080,130,121
2081,127,121
2082,124,121
2083,124,121
2084,122,120
2085,122,120
2086,124,120
2087,128,121
2088,132,121
2089,126,121
2090,128,123
2091,127,123
2092,129,124
2093,128,124
2094,127,125
2095,129,125
2096,127,126
2097,130,128
2098,132,129
2099,130,129
2100,130,130
2101,134,131
2102,131,131
2103,129,133
2104,128,133
2105,127,134
2106,127,134
2107,129,133
2108,134,133
2109,134,133
2110,138,134
2111,138,134
2112,138,134
2113,135,134
2114,134,137
2115,135,138
2116,134,138
2117,129,138
2118,130,138
2119,129,137
2120,130,137
2121,133,137
2122,137,137
2123,133,138
